deviceCategory,operatingSystem,campaign,medium,continent,Product,Product_Category
,,,,,Men's Google Channel Flow Pullover,Home/Electronics/Audio/
,,,,,Men's Google Convertible Jacket/Vest,Men's/Men's-Performance Wear/
,,,,,Leatherette Notebook Combo,Home/Office/Writing/
,,,,,YouTube Unstructured Cap - Charcoal,Home/Limited Supply/Bags/Shopping/
,,,,,Google Collapsible Pet Bowl Blue,Home/Apparel/Men's/Men's-T-Shirts/
,,,,,Colored Pencil Set,Lifestyle/
,,,,,Google Women's Convertible Vest-Jacket Sea Foam Green,Home/Accessories/Fun/
,,,,,Android Men's Short Sleeve Tri-blend Hero Tee Grey,Electronics
,,,,,Android Men's Long Sleeve Badge Crew Tee Heather,Home/Shop by Brand/Waze/
,,,,,Google Hard Cover Journal,Home/Limited Supply/Bags/
,,,,,Google Toddler Short Sleeve T-shirt Royal Blue,Home/Shop by Brand/Google/
,,,,,Waze Mobile Phone Vent Mount,Home/Bags/Shopping and Totes/
,,,,,Google Youth Short Sleeve Tee Red,Home/Apparel/Women's/Women's-T-Shirts/
,,,,,Google  Women's Muscle Tee,Accessories
,,,,,Women's Performance Full Zip Jacket Black,Bottles/
,,,,,Google 3/4 Sleeve Raglan Badge Henley Black,Waze
,,,,,Google Sunglasses Red,Backpacks
,,,,,Android Women's Short Sleeve Tri-blend Badge Tee Light Grey,Writing/
,,,,,Chrome Silicone Grip Glass Bottle,YouTube/
,,,,,Android Eco-Jersey Henley,${productitem.product.origCatName}
,,,,,Google Eco-Jersey Henley,Home/Brands/Android/
,,,,,Wind Up Android,
,,,,,YouTube Men's Fleece Hoodie Black,
,,,,,Google 40 oz Insulated Monster Bottle,
,,,,,Google Laptop and Cell Phone Stickers,
,,,,,Google Flashlight,
,,,,,Compact Bluetooth Speaker,
,,,,,Android Luggage Tag,
,,,,,Android Onesie Gold,
,,,,,Android RFID Journal,
,,,,,Google Men's Short Sleeve Performance Badge Tee Pewter,
,,,,,YouTube Women's Fleece Hoodie Black,
,,,,,Waze Men's Typography Short Sleeve Tee,
,,,,,Google Women's Recycled Fabric Tee,
,,,,,Google Women's Performance Golf Polo Blue,
,,,,,Google Men's Heavyweight Long Sleeve Hero Tee Navy,
,,,,,YouTube 24 oz Stripe Accent Bottle,
,,,,,Aluminum Emergency Flashlight,
,,,,,Google Men's Pullover Hoodie,
,,,,,PaperMate Ink Joy Pen,
,,,,,Google Toddler Tee Fruit Games Lemon,
,,,,,Google Youth Tee Fruit Games Banana,
,,,,,BKR Bottle - Vacation Blue,
,,,,,Women's Mistral Shell Jacket,
,,,,,My T-Shirt,
,,,,,Android Soccer Ball,
,,,,,Spiral Notebook and Pen Set,
,,,,,Retractable Ballpoint Pen Red,
,,,,,Android Men's Short Sleeve Hero Tee White,
,,,,,Leatherette Journal,
,,,,,22 oz Android Bottle,
,,,,,Google Bib Red,
,,,,,Grip Highlighter Pen 3 Pack,
,,,,,Google Women's Short Sleeve V-Neck Tee Dark Grey,
,,,,,Android Women's Short Sleeve Badge Tee Dark Heather,
,,,,,Android Men's Pep Rally Short Sleeve Tee Navy,
,,,,,Google Infant Short Sleeve Tee Cornflower Blue,
,,,,,Latitudes Foldaway Shopper,
,,,,,Google Adult Tee Fruit Games Pineapple,
,,,,,Sports Water Bottle,
,,,,,Men's Traverse Microfleece,
,,,,,Women's Traverse Microfleece,
,,,,,YouTube Women's 3/4 Sleeve Baseball Raglan White/Black,
,,,,,BRIGHTtravels Set of 3 Nested Travel Cases,
,,,,,Google Slim Utility Travel Bag,
,,,,,Ballpoint Stylus Pen,
,,,,,Android BTTF Cosmos Graphic Tee,
,,,,,Recycled Paper Journal Set,
,,,,,YouTube RFID Journal,
,,,,,Google Women's Short Sleeve Performance Tee Navy,
,,,,,Google Women's V-Neck Tee Charcoal,
,,,,,Nest® Learning Thermostat 3rd Gen-USA - Copper,
,,,,,Android Men's Long & Lean Badge Tee Charcoal,
,,,,,Google Men's Zip Hoodie,
,,,,,Google Heavyweight Long Sleeve Hero Tee Navy,
,,,,,Google Women's Badge Performance Tee Navy,
,,,,,YouTube Wool Heather Cap Heather/Black,
,,,,,Android Toddler Short Sleeve T-shirt Pink,
,,,,,Google Women's 1/4 Zip Performance Pullover Black,
,,,,,Nest® Cam Outdoor Security Camera - USA,
,,,,,Nest® Cam Indoor Security Camera - USA,
,,,,,Google Youth Short Sleeve T-shirt Royal Blue,
,,,,,Google Leather Perforated Journal,
,,,,,Google Men's Long Sleeve Raglan Cranberry,
,,,,,Google Magnetic Mini Flood Flashlight,
,,,,,YouTube Women's Short Sleeve Crew Tee,
,,,,,Google Women's Vintage T-Shirt Black,
,,,,,Bic Leather Pen,
,,,,,Google Toddler Tee Fruit Games Cherries,
,,,,,Men's Google Quilted Thermolite Vest,
,,,,,Men's Vector Polo,
,,,,,YouTube Custom Decals,
,,,,,Google Spiral Journal with Pen,
,,,,,Google Women's Short Sleeve Hero Tee White,
,,,,,Google Women's Short Sleeve Hero Tee Black,
,,,,,Google Women's Short Sleeve Hero Dark Grey,
,,,,,Google 17 oz Double Wall Stainless Steel Insulated Bottle,
,,,,,Android Heavyweight Long Sleeve Badge Tee Black,
,,,,,Google Bib White,
,,,,,Gift Card- $100.00,
,,,,,UpCycled Handlebar Bag,
