deviceCategory,operatingSystem,campaign,medium,continent,Product,Product_Category
,,,,,Suitcase Organizer Cubes,
,,,,,Google RFID Journal,
,,,,,Google Women's Long Sleeve Tee Lavender,
,,,,,Google Women's Short Sleeve Hero Tee Grey,
,,,,,Google Men's Skater Tee Charcoal,
,,,,,UpCycled Bike Saddle Bag,
,,,,,Colored Pencil Set with Sharpener,
,,,,,Google Women's Short Sleeve V-Neck Tee Lavender,
,,,,,Kick Ball,
,,,,,25 oz. Infusion Water Bottle,
,,,,,Android Cool Gear Lunch To Go,
,,,,,Women's YouTube Short Sleeve Hero Tee Black,
,,,,,YouTube Men's Long Sleeve Pullover Badge Tee Heather,
,,,,,Leather and Metal Ballpoint Pen,
,,,,,8 pc Android Sticker Sheet,
,,,,,Google Women's Quilted Insulated Vest Black,
,,,,,Google Pet Feeding Mat,
,,,,,YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,
,,,,,Rainbow Stylus Pen,
,,,,,Google Collapsible Duffel Blue,
,,,,,Google Baby Essentials Set,
,,,,,Yoga Mat Purple,
,,,,,Android Women's Short Sleeve Tri-blend Badge Tee Light Blue,
,,,,,Oasis Backpack,
,,,,,Koozie Can Kooler,
,,,,,Pop-a-Point Crayon,
,,,,,PaperMate Ink Joy RT Pen,
,,,,,"Vintage Red Infant ""Player"" Bodysuit",
,,,,,Simplicity 24oz Water Bottle,
,,,,,Rowan Pullover Hood,
,,,,,YouTube Men's 3/4 Sleeve Henley,
,,,,,Google Stretch Fit Hat,
,,,,,Android 24 oz Contigo Bottle,
,,,,,Google 17oz Stainless Steel Sport Bottle,
,,,,,Google Women's Lightweight Microfleece Jacket,
,,,,,Android Men's Skater Badge Tee Charcoal,
,,,,,YouTube Notebook and Pen Set,
,,,,,Google Toddler 1/4 Zip Fleece Pewter,
,,,,,Google Collapsible Duffel,
,,,,,Google Women's Weatherblock Shell Jacket Black,
,,,,,Google Infant Short Sleeve Tee Red,
,,,,,Google 5-Panel Snapback Cap,
,,,,,Android Baby Essentials Baby Set,
,,,,,Powerbank Flashlight,
,,,,,Android Men's Heavyweight Long Sleeve Badge Tee Black,
,,,,,YouTube Men's Eco-Jersey Henley,
,,,,,Google Women's Quilted Insulated Vest Pewter,
,,,,,Google Women's Badge Performance Tee Charcoal,
,,,,,Green Flex Fleece Zip Hoodie,
,,,,,Fleece Full-Zip Hoodie,
,,,,,Android Men's  Zip Hoodie,
,,,,,Android Glass Water Bottle with Black Sleeve,
,,,,,Google Insulated Stainless Steel Bottle,
,,,,,Foam Can and Bottle Cooler,
,,,,,Google Infant Short Sleeve Tee White,
,,,,,Google Women's Shell Jacket Blue/Black,
,,,,,Android Youth Short Sleeve T-shirt Aqua,
,,,,,Google Men's Airflow 1/4 Zip Pullover Lapis,
,,,,,Google Men's Airflow 1/4 Zip Pullover Black,
,,,,,Yoga Mat,
,,,,,Waterproof Gear Bag,
,,,,,Google Women's Scoop Neck Tee Black,
,,,,,BLM Sweatshirt,
,,,,,Men's Weatherblock Shell Jacket Black,
,,,,,4-in-1 Carabiner Charger,
,,,,,Google 7-inch Dog Flying Disc Blue,
,,,,,Google Women's Tank Top,
,,,,,SPF-15 Lip Balm,
,,,,,16 oz. Hot/Cold Tumbler,
,,,,,22 oz Mini Mountain Bottle,
,,,,,Google Youth Tee Fruit Games Cherries,
,,,,,YouTube Men's Short Sleeve Hero Tee White,
,,,,,Google Men's  Zip Hoodie,
,,,,,Google Men's 100% Cotton Short Sleeve Hero Tee Red,
,,,,,Google Women's Convertible Vest-Jacket Black,
,,,,,25L Classic Rucksack,
,,,,,Google 25 oz Red Stainless Steel Bottle,
,,,,,Google Men's Heavyweight Long Sleeve Hero Tee Burgundy,
,,,,,16 oz. Hot and Cold Tumbler,
,,,,,YouTube 22 oz Infuser Bottle,
,,,,,Carabiner Flashlight,
,,,,,Google Long Sleeve Raglan Badge Henley Ocean Blue,
,,,,,Parker Gunmetal CT Ball Pen,
,,,,,Google Women's Badge Performance Tee Gunmetal,
,,,,,Google Youth Tee Fruit Games Lemon,
,,,,,Android Shaker Bottle,
,,,,,Android Monkey Mat,
